ID Escola,ID Inep,Escola,DRE,Tipo de Ensino,Possui 3o Ano,Área Urbana,Categoria,SAEB 23 Taxa Participação,SAEB 23 Nota Média PT,SAEB 23 Nota Média Mat,SAESE 24 Proficiência PT,SAESE 24 Proficiência MAT,Participação Avaliação Diagnóstica,Rendimento Médio Língua Portuguesa Avaliação Diagnóstica,Rendimento Médio Matemática Avaliação Diagnóstica,Número de Alunos,Participação Avaliação Formativa,Rendimento LP Avaliação Formativa,Rendimento MAT Avaliação Formativa
14202624,28035100,CENTRO DE EXCELÊNCIA DE EDUCAÇÃO  EM TEMPO INTEGRAL E PROFISSIONAL  MARIA FONTES DE FARIA,DRE01,Ensino Profissional,Sim,Urbana,Regular,,,,,,93%,48%,28%,150,"97,8%","56,20%","61,9%"
14202610,28024150,COLÉGIO ESTADUAL DOUTOR ANTÔNIO GARCIA FILHO,DRE01,Ensino Médio Parcial,Sim,Urbana,Regular,"84,35%","253,19","241,86","243,2","237,8",31%,38%,35%,400,"84,7%","45,36%","42,6%"
14202452,28024540,COLEGIO ESTADUAL PROFESSOR GILSON AMADO,DRE01,Ensino Médio Parcial,Sim,Urbana,Regular,"85,71%","239,23","245,6",243,"231,8",86%,33%,28%,265,"80,0%","35,05%","36,5%"
14202755,28032080,COLEGIO ESTADUAL PREFEITO PEDRO DE BALBINO,DRE01,Ensino Médio Parcial,Sim,Urbana,Regular,"100,00%","247,3","250,98",237,"232,9",88%,39%,30%,403,"88,8%","44,87%","37,7%"
14202536,28029577,CENTRO DE EXCELÊNCIA PREFEITO JOALDO LIMA DE CARVALHO,DRE01,Ensino Médio Parcial,Sim,Urbana,Regular,"92,00%",257,"254,79","276,5","258,9",86%,39%,41%,408,"83,1%","39,72%","43,2%"
14202631,28022645,COLÉGIO ESTADUAL MONSENHOR OLÍMPIO CAMPOS,DRE01,Ensino Médio Parcial,Sim,Urbana,Regular,"88,89%","243,77","252,64","251,5","251,8",67%,44%,49%,1.021,"81,4%","50,96%","51,6%"
14202508,28025326,CENTRO DE EXCELÊNCIA ARQUIBALDO MENDONÇA,DRE01,Ensino Médio Integral,Sim,Urbana,Regular,"91,75%","259,33","259,28","248,3","245,1",66%,34%,27%,291,"91,8%","38,85%","33,9%"
14202754,28024559,COLEGIO ESTADUAL GUMERCINDO BESSA,DRE01,Ensino Médio Parcial,Sim,Urbana,Regular,"72,40%",,,"231,6","231,3",89%,35%,35%,882,"82,0%","32,42%","31,5%"
14202476,28022394,CENTRO DE EXCELÊNCIA LEONARDO GOMES DE CARVALHO LEITE,DRE01,Ensino Médio Integral,Sim,Urbana,Regular,"90,91%","243,91","240,92","241,4","233,1",86%,39%,35%,316,"89,0%","52,15%","56,9%"
14202553,28025903,CENTRO DE EXECELÊNCIA DE EDUCAÇÃO EM TEMPO INTEGRAL COMENDADOR CALAZANS,DRE01,Ensino Profissional,Sim,Urbana,Regular,"93,10%","231,93","245,03","263,4",237,92%,37%,32%,236,"71,7%","30,81%","35,6%"
14202604,28025180,COLÉGIO ESTADUAL DIONÍZIO MACHADO,DRE01,Ensino Médio Parcial,Sim,Urbana,Regular,"85,98%","233,88","237,64","238,4","237,9",84%,34%,37%,290,"80,0%","44,17%","52,9%"
14202477,28022440,COLÉGIO ESTADUAL OTÁVIO DE SOUZA LEITE,DRE01,Ensino Médio Parcial,Sim,Urbana,Regular,,,,"260,5","246,3",80%,39%,30%,266,"89,4%","47,18%","37,3%"
14202478,28023315,COLÉGIO ESTADUAL ALENCAR CARDOSO,DRE01,Ensino Profissional,Sim,Urbana,Regular,,,,"226,4","229,2",92%,43%,34%,210,"92,1%","44,11%","41,2%"
14202747,28022033,CENTRO DE EXCELÊNCIA CLEONICE SOARES DA FONSECA,DRE01,Ensino Médio Integral,Sim,Urbana,Regular,"100,98%","292,74","297,45","294,8","303,7",100%,53%,39%,298,"98,8%","64,33%","63,8%"
14202522,28040201,CENTRO DE EXCELÊNCIA DEPUTADO JOALDO VIEIRA BARBOSA,DRE01,Ensino Profissional,Sim,Urbana,Regular,"94,37%","270,62","265,73","296,3","275,9",93%,41%,37%,234,"87,0%","41,37%","42,0%"
14202912,28024524,CENTRO DE EXCELÊNCIA SENADOR WALTER FRANCO,DRE01,Ensino Médio Integral,Sim,Urbana,Regular,"92,00%","269,72","258,62",275,"273,3",87%,32%,34%,317,"72,9%","46,90%","47,6%"
14202459,28023277,CENTRO DE EXCELÊNCIA DOUTOR JESSÉ FONTES,DRE01,Ensino Médio Integral,Sim,Urbana,Regular,"97,65%","242,67","254,03","242,3","231,5",95%,36%,27%,320,"93,1%","39,20%","39,8%"
14202811,28024532,COLEGIO ESTADUAL ARABELA RIBEIRO,DRE01,Ensino Médio Parcial,Sim,Urbana,Regular,"76,56%",,,"254,2","237,9",92%,45%,40%,144,"94,7%","53,01%","52,3%"
12358065,28036204,CENTRO DE EXCELÊNCIA DE EDUCAÇÃO PROFISSIONAL ULISSES GUIMARÃES,DRE01,Ensino Profissional,Sim,Urbana,Regular,"96,30%","265,06","254,47","258,8","251,5",68%,51%,41%,126,"82,0%","49,10%","44,0%"
14202740,28023730,CENTRO DE EXCELÊNCIA DOM JOSÉ VICENTE TÁVORA,DRE01,Ensino Médio Integral,Sim,Urbana,Regular,"100,00%","284,5","289,01","283,2","278,8",100%,43%,45%,51,"100,0%","45,83%","47,4%"
14202642,28023331,COLÉGIO ESTADUAL FRANCISCO BARBOSA SANTOS,DRE01,Ensino Médio Parcial,Sim,Rural,Regular,"91,67%","282,87","270,44","273,1","247,8",88%,48%,42%,125,"91,2%","63,71%","66,9%"
14202530,28032225,CENTRO DE EXCELÊNCIA DE EDUCAÇÃO EM TEMPO INTEGRAL PROFESSOR JOSÉ CLÁUDIO MONTEIRO,DRE02,Ensino Médio Integral,Sim,Rural,Regular,"98,72%","261,7","257,38","268,6","243,2",98%,46%,46%,219,"97,9%","70,21%","69,5%"
14202551,28011082,COLÉGIO ESTADUAL SILVIO ROMERO,DRE02,Ensino Médio Parcial,Sim,Urbana,Regular,"97,41%","274,58","267,96","279,8",272,92%,56%,47%,1.176,"93,0%","64,92%","62,3%"
